num,text,sentiment_score,sentiment_magnitude
1,Should Teachers Get Tenure?,0.10000000149011612,0.10000000149011612
2,Is Vaping with E-Cigarettes Safe?,0.6000000238418579,0.6000000238418579
3,Should Insider Trading Be Allowed?,-0.20000000298023224,0.20000000298023224
4,Should Corporal Punishment Be Used in Schools?,0.0,0.0
5,Should Social Security Be Privatized?,0.20000000298023224,0.20000000298023224
6,Is a College Education Worth It?,0.5,0.5
7,Should Felons Who Have Completed Their Sentence Be Allowed to Vote?,0.0,0.0
8,Should Abortion Be Legal?,-0.20000000298023224,0.20000000298023224
9,Should Students Have to Wear School Uniforms?,0.0,0.0
10,Should Any Vaccines Be Required for Children?,-0.30000001192092896,0.30000001192092896
11,Should Performance Enhancing Drugs Be Accepted in Sports?,0.30000001192092896,0.30000001192092896
12,Should birth control pills be available over the counter?,-0.20000000298023224,0.20000000298023224
13,Can Alternative Energy Effectively Replace Fossil Fuels?,0.4000000059604645,0.4000000059604645
14,Is Sexual Orientation Determined at Birth?,-0.10000000149011612,0.10000000149011612
15,Should Animals Be Used for Scientific or Commercial Testing?,0.0,0.0
16,Should Prescription Drugs Be Advertised Directly to Consumers?,-0.6000000238418579,0.6000000238418579
17,Should Recreational Marijuana Be Legal?,0.0,0.0
18,Should Churches Remain Tax-Exempt?,0.0,0.0
19,Should Gay Marriage Be Legal?,0.4000000059604645,0.4000000059604645
20,Is Drinking Milk Healthy for Humans?,0.20000000298023224,0.20000000298023224
21,Is Human Activity Primarily Responsible for Global Climate Change?,-0.10000000149011612,0.10000000149011612
22,Is a Two-State Solution an Acceptable Solution to the Israeli-Palestinian Conflict?,0.0,0.0
23,Should Euthanasia or Physician-Assisted Suicide Be Legal?,0.10000000149011612,0.10000000149011612
24,Does Lowering the Federal Corporate Income Tax Rate Create Jobs?,-0.10000000149011612,0.10000000149011612
25,Should Tablets Replace Textbooks in Schools?,0.0,0.0
26,Do Standardized Tests Improve Education?,0.20000000298023224,0.20000000298023224
27,Should More Gun Control Laws Be Enacted?,0.10000000149011612,0.10000000149011612
